as_of;download_time;gross_salary;link;name;net_salary;role;sector
01/01/18;2018-02-15 11:28:59.915455;R$34.280,12;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10101014_detalhes.html;ausÌ»ncia de divulgaÌ¤Ì£o em razÌ£o de determinaÌ¤Ì£o judicial;R$25.878,86;;GABINETE DO 2å¼ SECRETÌRIO
01/01/18;2018-02-15 11:28:59.915455;R$33.996,65;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11033_detalhes.html;11033;R$25.569,07;CONSULTOR TÌäCNICO LEGISLATIVO - ARQUITETURA;SGP - SECRETARIA GERAL PARLAMENTAR
01/01/18;2018-02-15 11:28:59.915455;R$33.723,41;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10923_detalhes.html;10923;R$25.370,97;TÌäCNICO ADMINISTRATIVO;SGP-12 - EQUIPE DA SECRETARIA DAS COMISSÌ¥ES DO PROCESSO LEGISLATIVO
01/01/18;2018-02-15 11:28:59.915455;R$33.594,80;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10884_detalhes.html;10884;R$25.121,39;TÌäCNICO ADMINISTRATIVO;SGA-33 - EQUIPE DE ZELADORIA
01/01/18;2018-02-15 11:28:59.915455;R$33.268,36;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11052_detalhes.html;11052;R$22.335,78;CONSULTOR TÌäCNICO LEGISLATIVO - ECONOMIA;CTEO-3 - EQUIPE DE ASSESSORIA E CONSULTORIA ADM. E DE PLANEJAMENTO ORÌàAMENTÌRIO
01/01/18;2018-02-15 11:28:59.915455;R$32.477,20;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11069_detalhes.html;11069;R$21.983,64;TÌäCNICO ADMINISTRATIVO;SGP-33 - EQUIPE DE ARQUIVO GERAL
01/01/18;2018-02-15 11:28:59.915455;R$32.470,10;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11076_detalhes.html;11076;R$21.820,69;TÌäCNICO ADMINISTRATIVO;CCI-2 - EQUIPE DE SUPORTE MULTIMÌDIA
01/01/18;2018-02-15 11:28:59.915455;R$31.751,57;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11108_detalhes.html;11108;R$21.357,06;CONSULTOR TÌäCNICO LEGISLATIVO - REGISTRO E REVISÌÄO;SGP-4 - SECRETARIA DE REGISTRO PARLAMENTAR E REVISÌÄO
01/01/18;2018-02-15 11:28:59.915455;R$31.751,57;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/11097_detalhes.html;11097;R$21.357,06;CONSULTOR TÌäCNICO LEGISLATIVO - BIBLIOTECONOMIA;SGP-31 - EQUIPE DE DOCUMENTAÌàÌÄO DO LEGISLATIVO
01/01/18;2018-02-15 11:28:59.915455;R$31.751,57;http://www.camara.sp.gov.br/wp-content/uploads/salariosabertos/HTML_ativos_2018_01/10871_detalhes.html;10871;R$21.411,65;TÌäCNICO ADMINISTRATIVO;SGP-1 - SECRETARIA DAS COMISSÌ¥ES
